id,hotel_name,country,region,website,instagram_handle,instagram_url,source,gold_list_listings,notes
1,Acqualina Resort and Residences on the Beach,United States,Americas,https://www.acqualinaresort.com/,@acqualinaresort,https://www.instagram.com/acqualinaresort,Forbes,,
2,Adare Manor,Ireland,Europe,https://www.adaremanor.com,@theadaremanor,https://www.instagram.com/theadaremanor,"Forbes, Gold List","US 2025, UK 2025",
3,Address Beach Resort Dubai,United Arab Emirates,Middle East,https://www.addresshotels.com/en/resorts/address-beach-resort/,@addressbeachresort,https://www.instagram.com/addressbeachresort,Forbes,,
4,Address Istanbul,Turkey,Europe,https://www.addresshotels.com/en/hotels/address-istanbul/,@addresshotelistanbul,https://www.instagram.com/addresshotelistanbul,Forbes,,region assigned by judgement (transcontinental country)
5,"Airelles Courchevel, Les Airelles",France,Europe,https://airelles.com/en/destination/courchevel-hotel,@airellescourchevel,https://www.instagram.com/airellescourchevel,Forbes,,
6,"Airelles Gordes, La Bastide",France,Europe,https://airelles.com/en/destination/gordes-hotel,@airellesgordes,https://www.instagram.com/airellesgordes,Forbes,,
7,Akelarre,Spain,Europe,https://akelarre.net,@akelarrehotel,https://www.instagram.com/akelarrehotel,Gold List,"US 2026, UK 2026",
8,Al Moudira Hotel,Egypt,Africa,https://www.moudira.com,@moudira_hotel,https://www.instagram.com/moudira_hotel,Gold List,"US 2026, UK 2026",
9,Altira Macau,China,Asia-Pacific,https://www.altiramacau.com/en,@altira.macau,https://www.instagram.com/altira.macau,Forbes,,
10,Aman Kyoto,Japan,Asia-Pacific,https://www.aman.com/resorts/aman-kyoto,@aman_kyoto,https://www.instagram.com/aman_kyoto,Gold List,"US 2025, UK 2025",
11,Aman Tokyo,Japan,Asia-Pacific,https://www.aman.com/hotels/aman-tokyo,@aman_tokyo,https://www.instagram.com/aman_tokyo,World's 50 Best,,Property account preferred over global @aman.
12,Amangiri,United States,Americas,https://www.aman.com/resorts/amangiri,@amangiri,https://www.instagram.com/amangiri,Gold List,"US 2026, UK 2026",
13,Amansara,Cambodia,Asia-Pacific,https://www.aman.com/resorts/amansara,@amansara,https://www.instagram.com/amansara,Forbes,,
14,andBeyond Mnemba Island,Tanzania,Africa,https://www.andbeyond.com/our-lodges/africa/tanzania/mnemba-island/andbeyond-mnemba-island,@andbeyondmnemba,https://www.instagram.com/andbeyondmnemba,Gold List,"US 2025, UK 2025",
15,Andronis Luxury Suites,Greece,Europe,https://www.andronis.com/hotels/andronis-luxury-suites,@andronissuites,https://www.instagram.com/andronissuites,Forbes,,Site footer publishes @andronissuites (resolves earlier ambiguity).
16,ARIA Sky Suites,United States,Americas,https://aria.mgmresorts.com,,,Forbes,,ARIA Sky Suites is a suite product within ARIA Resort & Casino; no property-specific Instagram. Left blank.
17,Armani Hotel Dubai,United Arab Emirates,Middle East,https://www.armanihotels.com/en/hotels/armani-hotel-dubai,@armanihoteldxb,https://www.instagram.com/armanihoteldxb,Forbes,,
18,Ashford Castle,Ireland,Europe,https://ashfordcastle.com,@ashfordcastle,https://www.instagram.com/ashfordcastle,Forbes,,
19,"Atlantis, The Royal",United Arab Emirates,Middle East,https://www.atlantis.com/atlantis-the-royal,@atlantistheroyal,https://www.instagram.com/atlantistheroyal,"Forbes, World's 50 Best",,
20,"Auberge du Soleil, Auberge Collection",United States,Americas,https://auberge.com/auberge-du-soleil/,@aubergedusoleil,https://www.instagram.com/aubergedusoleil,Forbes,,
21,Baccarat Hotel New York,United States,Americas,https://www.baccarathotels.com/,@baccarathotels,https://www.instagram.com/baccarathotels,Forbes,,@baccarathotels is the New York flagship's account (brand HQ is this property).
22,Badrutt's Palace Hotel,Switzerland,Europe,https://badruttspalace.com,@badruttspalace,https://www.instagram.com/badruttspalace,"Forbes, Gold List","US 2026, UK 2026",
23,Banyan Tree Macau,China,Asia-Pacific,https://www.banyantree.com/china/macau,@banyantreemacau,https://www.instagram.com/banyantreemacau,Forbes,,
24,Beach Club at The Boca Raton,United States,Americas,https://www.thebocaraton.com/suites-rooms/beach-club/,@thebocaraton,https://www.instagram.com/thebocaraton,Forbes,,Beach Club has no separate IG; resort account @thebocaraton used (property has none of its own).
