id,hotel_name,country,region,website,instagram_handle,instagram_url,notes
1,Acqualina Resort and Residences on the Beach,United States,Americas,https://www.acqualinaresort.com/,@acqualinaresort,https://www.instagram.com/acqualinaresort,
2,Adare Manor,Ireland,Europe,https://www.adaremanor.com,@theadaremanor,https://www.instagram.com/theadaremanor,
3,Address Beach Resort Dubai,United Arab Emirates,Middle East,https://www.addresshotels.com/en/resorts/address-beach-resort/,@addressbeachresort,https://www.instagram.com/addressbeachresort,
4,Address Istanbul,Turkey,Europe,https://www.addresshotels.com/en/hotels/address-istanbul/,@addresshotelistanbul,https://www.instagram.com/addresshotelistanbul,region assigned by judgement (transcontinental country)
5,"Airelles Courchevel, Les Airelles",France,Europe,https://airelles.com/en/destination/courchevel-hotel,@airellescourchevel,https://www.instagram.com/airellescourchevel,
6,"Airelles Gordes, La Bastide",France,Europe,https://airelles.com/en/destination/gordes-hotel,@airellesgordes,https://www.instagram.com/airellesgordes,
7,Altira Macau,China,Asia-Pacific,https://www.altiramacau.com/en,@altira.macau,https://www.instagram.com/altira.macau,
8,Amansara,Cambodia,Asia-Pacific,https://www.aman.com/resorts/amansara,@amansara,https://www.instagram.com/amansara,
9,Andronis Luxury Suites,Greece,Europe,https://www.andronis.com/hotels/andronis-luxury-suites,,,"Instagram needs review: @andronisluxurysuites vs @andronissuites both plausible, plus group @andronis_hotels. Confirm via hotel site."
10,ARIA Sky Suites,United States,Americas,https://aria.mgmresorts.com,,,ARIA Sky Suites is a suite product within ARIA Resort & Casino; no property-specific Instagram found. Website is ARIA resort site.
11,Armani Hotel Dubai,United Arab Emirates,Middle East,https://www.armanihotels.com/en/hotels/armani-hotel-dubai,@armanihoteldxb,https://www.instagram.com/armanihoteldxb,
12,Ashford Castle,Ireland,Europe,https://ashfordcastle.com,@ashfordcastle,https://www.instagram.com/ashfordcastle,
13,"Atlantis, The Royal",United Arab Emirates,Middle East,https://www.atlantis.com/atlantis-the-royal,@atlantistheroyal,https://www.instagram.com/atlantistheroyal,
14,"Auberge du Soleil, Auberge Collection",United States,Americas,https://auberge.com/auberge-du-soleil/,@aubergedusoleil,https://www.instagram.com/aubergedusoleil,
15,Baccarat Hotel New York,United States,Americas,https://www.baccarathotels.com/,@baccarathotels,https://www.instagram.com/baccarathotels,@baccarathotels is the New York flagship's account (brand HQ is this property).
16,Badrutt's Palace Hotel,Switzerland,Europe,https://badruttspalace.com,@badruttspalace,https://www.instagram.com/badruttspalace,
17,"The Balmoral, a Rocco Forte Hotel",United Kingdom,Europe,https://www.roccofortehotels.com/hotels-and-resorts/the-balmoral-hotel/,@thebalmoral,https://www.instagram.com/thebalmoral,
18,Banyan Tree Macau,China,Asia-Pacific,https://www.banyantree.com/china/macau,@banyantreemacau,https://www.instagram.com/banyantreemacau,
19,Beach Club at The Boca Raton,United States,Americas,https://www.thebocaraton.com/suites-rooms/beach-club/,,,Part of The Boca Raton resort. IG unclear: resort account @thebocaraton vs small property account @bocabeachclub (~2k). Needs review.
20,The Berkeley,United Kingdom,Europe,https://www.maybourne.com/en/hotels/the-berkeley,@the_berkeley,https://www.instagram.com/the_berkeley,
21,The Beverly Hills Hotel,United States,Americas,https://www.dorchestercollection.com/los-angeles/the-beverly-hills-hotel,@bevhillshotel,https://www.instagram.com/bevhillshotel,
22,BLESS Hotel Madrid,Spain,Europe,https://www.blesscollectionhotels.com/en/bless-hotel-madrid/,@blesshotelmadrid,https://www.instagram.com/blesshotelmadrid,
23,BLESS Ibiza Cala Nova,Spain,Europe,https://www.blesscollectionhotels.com/en/bless-hotel-ibiza/,,,Two plausible IG accounts: @blessibizacalanova and @blesshotelibiza. Needs confirmation via hotel site.
24,Boston Harbor Hotel,United States,Americas,https://www.bostonharborhotel.com/,@bostonharborhotel,https://www.instagram.com/bostonharborhotel,
25,The Brando,French Polynesia,Asia-Pacific,https://thebrando.com,@thebrandoresort,https://www.instagram.com/thebrandoresort,
26,The Broadmoor,United States,Americas,https://www.broadmoor.com,@thebroadmoor,https://www.instagram.com/thebroadmoor,
27,"Brown's Hotel, a Rocco Forte Hotel",United Kingdom,Europe,https://www.roccofortehotels.com/hotels-and-resorts/brown-s-hotel/,@browns_hotel,https://www.instagram.com/browns_hotel,
28,Bvlgari Hotel Beijing,China,Asia-Pacific,https://www.bulgarihotels.com/en_US/beijing,,,No property-specific IG confirmed; Bvlgari group account @bvlgarihotels exists. Needs check on hotel page.
29,Bvlgari Hotel London,United Kingdom,Europe,https://www.bulgarihotels.com/en_US/london,@bvlgarihotellondon,https://www.instagram.com/bvlgarihotellondon,
30,Bvlgari Hotel Shanghai,China,Asia-Pacific,https://www.bulgarihotels.com/en_US/shanghai,,,No property-specific IG confirmed in search; Bvlgari group account @bvlgarihotels exists. Needs check on hotel page.
31,Bvlgari Hotel Tokyo,Japan,Asia-Pacific,https://www.bulgarihotels.com/en_US/tokyo,@bvlgarihoteltokyo,https://www.instagram.com/bvlgarihoteltokyo,
32,Bvlgari Resort and Residences Dubai,United Arab Emirates,Middle East,https://www.bulgarihotels.com/en_US/dubai,@bvlgariresortdubai,https://www.instagram.com/bvlgariresortdubai,
33,Bvlgari Resort Bali,Indonesia,Asia-Pacific,https://www.bulgarihotels.com/en_US/bali,@bvlgariresortbali,https://www.instagram.com/bvlgariresortbali,
34,"The Cadogan, A Belmond Hotel, London",United Kingdom,Europe,https://www.belmond.com/hotels/europe/uk/london/belmond-cadogan-hotel/,@belmondcadogan,https://www.instagram.com/belmondcadogan,
35,"The Canyon Suites at The Phoenician,  A Luxury Collection Resort",United States,Americas,https://www.canyonsuites.com/,@canyonsuitesscottsdale,https://www.instagram.com/canyonsuitesscottsdale,Property account now redirects followers to parent resort @phoenicianscottsdale.
36,"Cap Juluca, A Belmond Hotel, Anguilla",Anguilla,Americas,https://www.belmond.com/hotels/north-america/caribbean/anguilla/belmond-cap-juluca/,@belmondcapjuluca,https://www.instagram.com/belmondcapjuluca,
37,Capella at Galaxy Macau,China,Asia-Pacific,https://capellahotels.com/en/capella-galaxy-macau,@capellamacau,https://www.instagram.com/capellamacau,
38,Capella Bangkok,Thailand,Asia-Pacific,https://capellahotels.com/en/capella-bangkok,@capellabangkok,https://www.instagram.com/capellabangkok,
39,Capella Hanoi,Vietnam,Asia-Pacific,https://capellahotels.com/en/capella-hanoi,@capellahanoi,https://www.instagram.com/capellahanoi,
40,"Capella Shanghai, Jian Ye Li",China,Asia-Pacific,https://capellahotels.com/en/capella-shanghai,@capellashanghai,https://www.instagram.com/capellashanghai,
41,Capella Singapore,Singapore,Asia-Pacific,https://www.capella-singapore.com/,@capellasingapore,https://www.instagram.com/capellasingapore,
